pop_id,habitat_type,invasion,avg_canopy_cover,avg_soil_moisture,avg_live_tillers,avg_dead_tillers,avg_total_tillers,avg_cogon_till_length,avg_D_live,avg_D_dead,avg_D_litter,avg_D_other,avg_native_length,elevation,elev_units,site_lc,geometry
Appleton1,sandhill,inv,NaN,5.516666666666667,19.333333333333332,10.333333333333334,29.666666666666668,101.08,11.5,2.8266666666666667,49.58,1.1566666666666667,NaN,21.24,meters,Commercial and Services,"c(586606.436884131, 579169.406398375)"
Appleton1,sandhill,unv,NaN,5.866666666666667,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,64.75,21.24,meters,Commercial and Services,"c(586606.436884131, 579169.406398375)"
Archer1,pine plantation,inv,63.666666666666664,4.616666666666666,11.666666666666666,12.333333333333334,24,128.56944444444446,9.553333333333333,6.013333333333333,32.60333333333333,0,NaN,29.77,meters,Transportation,"c(543613.052255608, 615577.589450252)"
Archer1,pine plantation,unv,95.66666666666667,3.0083333333333333,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,27.166666666666668,29.77,meters,Transportation,"c(543613.052255608, 615577.589450252)"
Baseline1,upland pine plantation,inv,76.66666666666667,0.475,60.333333333333336,35,95.33333333333333,143.81666666666666,50.04333333333334,22.03333333333333,28.296666666666667,0,NaN,21.83,meters,Coniferous Plantations,"c(589481.52186832, 572445.618866458)"
Baseline1,upland pine plantation,unv,34.333333333333336,1.8666666666666667,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,26.333333333333332,21.83,meters,Coniferous Plantations,"c(589481.52186832, 572445.618866458)"
Baseline2,pine plantation,inv,35.333333333333336,1.7666666666666666,50,70.66666666666667,120.66666666666667,101.23333333333333,20.64333333333333,14.7,10.06,0,NaN,27.3,meters,Coniferous Plantations,"c(589279.656614673, 572250.295253445)"
Baseline2,pine plantation,unv,74.33333333333333,0.975,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,30.166666666666668,27.3,meters,Coniferous Plantations,"c(589279.656614673, 572250.295253445)"
Baseline3,pine plantation,inv,70,0.4,52,17.666666666666668,69.66666666666667,112.95,31.473333333333333,8.030000000000001,13.943333333333333,0,NaN,19.76,meters,Coniferous Plantations,"c(590028.79732529, 573031.795151812)"
Baseline3,pine plantation,unv,78.33333333333333,0.8583333333333334,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,16.916666666666668,19.76,meters,Coniferous Plantations,"c(590028.79732529, 573031.795151812)"
BearTrack1,scrub,inv,64.66666666666667,4.55,15.333333333333334,3.6666666666666665,19,70.41666666666667,8.983333333333333,1.8933333333333333,15.29,0,NaN,18.56,meters,Mesic Flatwoods,"c(641024.026122557, 549697.595051037)"
BearTrack1,scrub,unv,82.33333333333333,7.25,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,62.375,18.56,meters,Mesic Flatwoods,"c(641024.026122557, 549697.595051037)"
BobJanes1,flatwoods,inv,0,9.425,31.333333333333332,22,53.333333333333336,66.76666666666667,13.216666666666667,5.193333333333333,1.79,0,NaN,3.72,meters,Unimproved/Woodland Pasture,"c(626310.629058359, 306636.073813962)"
BobJanes1,flatwoods,unv,33,9.941666666666666,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,114.25,3.72,meters,Unimproved/Woodland Pasture,"c(626310.629058359, 306636.073813962)"
BoulwareSprings1,sandhill,inv,38,14.375,42,11.666666666666666,53.666666666666664,71.76666666666667,14.19,2.6566666666666667,10.263333333333334,3.466666666666667,NaN,35.16,meters,Parks and Zoos,"c(563403.813904942, 625314.939686215)"
BoulwareSprings1,sandhill,unv,28.666666666666668,14.208333333333334,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,85,35.16,meters,Parks and Zoos,"c(563403.813904942, 625314.939686215)"
Brevard1,scrub,inv,0,12.791666666666666,34.333333333333336,59.333333333333336,93.66666666666667,75.65,17.566666666666666,32.11333333333333,32.68666666666667,0,NaN,1.5,meters,Urban Open Land,"c(731146.080327463, 492793.526296716)"
Brevard1,scrub,unv,NaN,6.6000000000000005,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,81.75,1.5,meters,Urban Open Land,"c(731146.080327463, 492793.526296716)"
Clontz1,hammock,inv,0,13.883333333333333,74,48,122,66.23333333333333,16.856666666666666,6.183333333333334,0.7566666666666667,0,NaN,3.17,meters,Improved Pasture,"c(686415.992326026, 520559.386030552)"
Clontz1,hammock,unv,14.666666666666666,19.675,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,90,3.17,meters,Improved Pasture,"c(686415.992326026, 520559.386030552)"
ColtCreek1,flatwoods,inv,82.66666666666667,37.391666666666666,28.666666666666668,9,37.666666666666664,97.01666666666667,20.71,4.38,19.38,0.24333333333333332,NaN,29.03,meters,Mesic Flatwoods,"c(592963.228534573, 476596.948276374)"
ColtCreek1,flatwoods,unv,84.33333333333333,36.85,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,77.16666666666667,29.03,meters,Mesic Flatwoods,"c(592963.228534573, 476596.948276374)"
ColtCreek2,hammock,inv,88.33333333333333,35.90833333333333,61,11.333333333333334,72.33333333333333,92.2,18.346666666666668,0.6733333333333333,11.06,0,NaN,29.65,meters,Mesic Flatwoods,"c(593385.138248239, 476541.500414599)"
ColtCreek2,hammock,unv,91,36.05833333333333,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,66.75,29.65,meters,Mesic Flatwoods,"c(593385.138248239, 476541.500414599)"
ColtCreek3,hammock,inv,95.33333333333333,37.166666666666664,17.333333333333332,34,51.333333333333336,59.06666666666667,3.49,11.83,15.64,0,NaN,26.26,meters,Dome Swamp,"c(590407.604421948, 478156.893668567)"
ColtCreek3,hammock,unv,70,28.358333333333334,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,81.25,26.26,meters,Dome Swamp,"c(590407.604421948, 478156.893668567)"
ConePark1,hammock,inv,94.33333333333333,14.8,28.333333333333332,12.666666666666666,41,95.85,12.213333333333333,2.473333333333333,11.783333333333333,1.4666666666666666,NaN,40.63,meters,Wet Flatwoods,"c(565741.370891712, 627238.167681186)"
ConePark1,hammock,unv,94.33333333333333,16.8,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,36.333333333333336,40.63,meters,Wet Flatwoods,"c(565741.370891712, 627238.167681186)"
EdYard1,hammock,inv,94.5,36.05833333333334,31.666666666666668,0.6666666666666666,32.333333333333336,45.56666666666666,0.9400000000000001,0,11.370000000000001,0.09333333333333334,NaN,7.29,meters,Mixed Hardwood Coniferous Swamps,"c(682738.656868719, 525884.435284237)"
EdYard1,hammock,unv,88,33.583333333333336,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,81.75,7.29,meters,Mixed Hardwood Coniferous Swamps,"c(682738.656868719, 525884.435284237)"
Etoniah1,sandhill,inv,NaN,3.7666666666666666,34,44,78,71.75972222222222,5.79,7.136666666666667,15.803333333333333,0.6,NaN,39.02,meters,Sandhill,"c(611325.00575856, 639099.892793735)"
Etoniah1,sandhill,unv,NaN,3.1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,80.16666666666667,39.02,meters,Sandhill,"c(611325.00575856, 639099.892793735)"
FH13,flatwoods,inv,21.333333333333332,5.941666666666666,28.333333333333332,60.333333333333336,88.66666666666667,57.583333333333336,5.84,8.203333333333333,19.553333333333335,0,NaN,23.11,meters,Coniferous Plantations,"c(337286.404845152, 686026.023136854)"
FH13,flatwoods,unv,43.5,3.658333333333333,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,80.66666666666667,23.11,meters,Coniferous Plantations,"c(337286.404845152, 686026.023136854)"
Ft Pierce1,sandhill,inv,0,3.2416666666666667,13.333333333333334,19.333333333333332,32.666666666666664,81.40333333333334,6.903333333333333,4.616666666666667,9.186666666666667,0.71,NaN,4.14,meters,Improved Pasture,"c(762797.629320083, 381154.361743137)"
Ft Pierce1,sandhill,unv,0,6.591666666666666,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,101.41666666666667,4.14,meters,Improved Pasture,"c(762797.629320083, 381154.361743137)"
